127.0.0.1 - - [13/Nov/2017:09:58:31 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:32 +0530] "GET /Assignment3/ques6.html HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:32 +0530] "GET /Assignment3/Lighthouse.jpg HTTP/1.1" 200 561276
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:32 +0530] "GET /Assignment3/Penguins.jpg HTTP/1.1" 200 777835
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:32 +0530] "GET /Assignment3/Tulips.jpg HTTP/1.1" 200 620888
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:32 +0530] "GET /Assignment3/Desert.jpg HTTP/1.1" 200 845941
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:34 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:40 +0530] "GET /Assignment3/ques6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:40 +0530] "GET /Assignment3/Lighthouse.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:40 +0530] "GET /Assignment3/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:40 +0530] "GET /Assignment3/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:40 +0530] "GET /Assignment3/Desert.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:40 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:59:18 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:59:27 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:59:27 +0530] "GET /JQueryDemo/Desert.jpg HTTP/1.1" 200 845941
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:01:18 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:01:40 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:04:55 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:05:05 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:07:30 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:09:21 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:09:26 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:09:26 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:13:41 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:14:46 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:15:03 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:15:12 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:16:15 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:19:45 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:20:33 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:21:43 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:23:28 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:25:27 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:25:33 +0530] "GET /JQueryDemo/Desert.jpg HTTP/1.1" 200 845941
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:25:34 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:29:15 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:30:33 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:30:54 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:30:56 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:33:17 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:34:08 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:34:35 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:35:28 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:35:29 +0530] "GET /JQueryDemo/Lighthouse.jpg HTTP/1.1" 200 561276
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:40:00 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:40:42 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:46:31 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:46:32 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:48:23 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:48:24 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:48:25 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:48:25 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:48:55 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:49:30 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:49:31 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:50:50 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:51:46 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:23:14 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:24:03 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:27:13 +0530] "GET /JQueryDemo/domManipulation.html HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:42:39 +0530] "GET /JQueryDemo/bind_live_deligate_on.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:42:51 +0530] "GET /JQueryDemo/bind_live_deligate_on.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:44:21 +0530] "GET /JQueryDemo/bind_live_deligate_on.html HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:44:27 +0530] "GET /JQueryDemo/bind_live_deligate_on.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:49:14 +0530] "GET /JQueryDemo/bind_live_deligate_on.html HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:51:21 +0530] "GET /JQueryDemo/bind_live_deligate_on.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:55:43 +0530] "GET /JQueryDemo/bind_live_deligate_on.html HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [13/Nov/2017:11:56:05 +0530] "GET /JQueryDemo/bind_live_deligate_on.html HTTP/1.1" 200 714
